,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
4301,3,15,1,19,23,20,8,7,26,5,5
2644,5,21,26,9,15,5,9,13,19,24,3
4656,29,7,13,4,3,16,7,14,4,21,2
2109,6,5,15,29,13,14,21,13,2,6,7
4375,6,16,15,30,19,10,14,8,27,18,4
1822,5,5,7,24,26,3,9,1,12,15,8
3787,5,7,1,18,6,23,9,17,5,11,4
4152,16,25,5,29,18,12,17,1,14,16,6
3615,7,6,17,9,21,25,23,19,16,18,4
1820,25,3,29,23,19,22,28,21,3,7,4
4629,30,19,18,10,22,23,24,11,15,9,6
3696,9,5,25,29,6,20,6,7,1,11,3
743,5,20,13,9,15,27,3,11,1,15,2
562,27,10,5,1,16,20,15,25,11,4,5
1118,23,13,23,17,7,25,12,7,5,1,4
2923,17,7,19,26,15,28,4,3,23,1,5
3961,8,30,9,4,25,4,1,17,11,13,4
4821,11,7,27,16,15,23,11,27,1,29,4
3807,4,10,16,15,25,11,10,13,1,8,3
4156,1,29,12,22,18,29,25,7,5,11,3
2627,9,11,9,1,12,13,25,12,8,6,5
78,17,17,21,21,15,9,5,17,10,12,5
175,7,27,7,23,15,25,8,15,29,26,2
551,3,7,16,1,11,5,7,23,12,21,4
3472,1,9,5,23,9,3,10,18,3,5,8
745,9,1,3,4,27,28,16,7,12,6,5
2227,21,29,17,15,10,3,19,12,13,29,4
456,29,9,10,19,4,9,16,19,13,3,5
1787,16,6,18,22,23,6,21,13,19,17,2
1835,27,4,29,14,17,4,12,19,27,16,4
336,27,1,25,13,16,4,3,27,25,3,4
2143,12,3,1,21,5,21,29,24,10,17,4
4875,7,17,1,15,7,3,19,4,8,13,4
3299,16,26,26,9,23,19,1,29,16,19,4
4857,19,29,4,11,7,17,27,7,25,14,6
3888,10,19,9,25,3,7,9,13,6,11,3
1453,25,23,3,13,7,9,1,29,9,25,4
4446,1,11,28,3,27,4,7,17,21,5,6
4742,15,30,11,7,27,9,15,12,15,4,2
4210,21,5,6,14,27,17,29,12,25,7,4
2364,3,15,12,29,29,18,7,23,23,28,5
4643,16,25,11,8,2,1,5,25,4,22,4
3872,6,13,5,24,11,16,6,3,4,22,5
3495,1,5,16,4,10,15,9,21,19,3,7
3214,25,1,8,5,15,11,26,30,17,13,5
3426,25,1,5,17,11,27,15,11,24,25,4
4541,17,6,1,13,3,8,15,12,17,4,2
2508,13,21,1,18,27,25,21,29,25,17,3
1523,1,11,15,21,5,11,25,8,28,13,2
2838,17,19,23,4,7,14,5,15,27,25,2
2809,10,11,10,15,29,29,1,27,14,13,6
3305,6,1,15,5,16,10,17,8,23,9,4
623,23,7,4,9,27,5,10,13,14,5,3
99,13,8,7,27,19,8,15,21,7,3,3
4485,7,26,15,25,5,10,17,19,9,7,5
4840,6,7,5,23,5,11,1,13,3,19,6
4522,28,4,19,28,8,5,1,16,3,19,3
2972,13,4,21,28,3,17,1,16,12,29,3
3838,20,2,15,8,12,3,10,6,23,9,2
4035,3,4,17,14,15,15,19,2,15,19,5
2874,5,3,26,11,29,17,23,27,7,20,4
406,3,3,15,5,5,1,4,6,7,8,2
4359,1,16,22,7,4,29,6,15,5,30,5
662,1,7,23,19,15,25,27,5,3,13,3
3478,13,14,13,9,17,1,3,4,5,12,2
1843,21,27,21,9,13,14,4,23,11,6,3
4631,1,11,3,27,25,25,15,12,5,3,4
241,19,17,9,25,3,9,27,10,6,1,4
945,23,8,29,1,18,14,3,3,5,7,7
834,18,3,27,8,3,15,5,23,29,11,3
1415,7,30,25,13,3,11,19,15,6,9,3
449,7,1,29,5,8,16,17,5,11,23,3
4048,14,26,1,19,24,15,9,13,3,9,6
506,13,7,1,14,5,9,5,15,15,19,7
4350,27,16,4,3,18,27,22,6,11,18,7
95,9,17,21,11,23,9,23,27,16,1,4
650,15,4,2,25,1,21,19,7,15,18,3
1298,11,25,6,5,8,4,23,9,24,7,4
3756,25,12,27,29,8,9,12,29,19,25,4
3868,1,11,23,7,17,3,10,15,9,4,5
247,21,29,9,19,10,15,13,13,21,11,6
437,13,20,1,17,6,25,17,5,27,15,5
3475,23,4,5,1,9,19,9,24,29,19,5
96,23,1,27,11,18,6,14,21,9,24,6
3723,19,21,15,11,13,3,10,1,23,10,4
3330,14,11,20,16,21,1,9,27,3,7,5
190,4,14,27,8,25,21,5,1,25,9,4
2073,3,15,19,10,12,4,27,5,23,26,3
2470,15,19,7,29,25,4,7,21,9,13,4
2593,1,27,27,27,29,4,18,29,11,23,4
299,11,13,7,5,15,1,17,2,11,25,3
3162,27,4,1,7,7,3,11,3,20,19,2
4458,3,16,11,15,15,1,21,6,26,23,5
783,17,1,29,3,10,15,6,27,9,29,2
4288,13,16,4,24,10,19,8,11,12,4,2
1079,19,19,29,1,7,17,25,30,15,6,2
1871,19,14,6,4,7,11,8,24,9,14,4
4767,10,18,19,21,3,27,9,6,24,3,5
4782,24,3,4,1,21,28,17,15,6,25,4
2937,18,9,24,30,19,12,21,5,16,8,4
501,8,6,17,3,19,23,9,1,5,8,5
370,6,28,9,7,23,21,17,19,29,3,8
3982,4,14,5,19,24,19,5,29,23,7,3
2794,13,23,9,18,7,4,9,26,27,7,4
1181,18,15,23,9,1,8,27,21,9,10,5
4160,21,29,21,12,25,6,4,25,29,7,3
3818,25,15,7,2,12,29,11,11,17,15,5
4468,27,7,23,26,13,22,5,1,29,3,7
2901,29,15,1,27,7,20,9,23,27,13,2
915,1,18,11,21,28,27,14,8,27,29,4
2027,12,5,18,15,23,25,21,4,14,6,5
2424,29,11,22,3,12,4,6,3,29,18,3
1506,7,9,9,12,3,10,1,13,30,5,6
1143,27,5,19,19,7,3,5,29,8,17,4
717,21,7,4,18,9,15,13,15,1,25,7
1984,27,8,9,21,1,27,15,29,12,4,4
4276,9,12,29,3,8,29,1,30,9,25,3
4854,18,3,27,2,5,23,27,6,13,21,6
3644,27,13,7,17,16,11,15,18,22,19,6
3163,20,19,29,11,15,5,2,7,23,7,5
2278,23,3,29,9,10,5,8,29,24,16,4
2071,19,3,12,6,25,29,6,13,27,11,5
4233,11,23,10,29,16,13,17,27,21,27,5
2938,11,17,4,29,6,25,28,9,23,29,5
2817,1,25,2,3,7,18,7,25,4,9,4
3207,25,4,29,8,11,13,5,10,1,21,6
819,11,13,19,21,12,8,19,11,15,22,8
2295,21,16,25,3,13,17,28,12,7,1,4
3116,1,12,18,8,9,5,13,5,7,6,4
2245,10,17,3,28,29,5,19,23,13,23,7
2341,6,21,15,19,18,3,25,1,23,13,4
473,18,8,23,15,29,25,9,14,4,17,3
3169,19,1,9,3,3,15,23,9,13,16,6
2103,12,11,3,4,13,16,23,2,19,8,5
2050,27,13,7,3,12,13,27,17,28,7,3
530,19,17,23,5,11,22,5,17,21,2,7
39,5,4,19,12,1,28,25,29,7,5,4
4962,4,4,1,3,15,17,4,14,18,17,4
719,1,11,23,27,12,24,4,25,11,7,7
3011,5,5,7,9,13,17,17,11,29,23,3
1232,21,21,11,5,1,7,4,29,23,12,4
3640,19,24,14,27,23,18,25,16,22,29,6
4728,6,17,14,17,18,9,20,1,18,10,3
3768,14,26,8,13,16,11,25,27,25,24,5
1643,25,11,5,1,6,29,8,12,15,16,4
119,3,7,5,17,21,3,23,11,27,13,4
975,1,19,19,25,8,13,9,8,9,21,3
172,8,19,17,6,15,9,27,13,1,3,7
4836,1,19,19,17,18,9,5,6,3,15,6
332,5,13,25,23,6,1,4,5,14,27,2
2479,18,8,6,19,7,21,15,1,23,3,3
505,6,5,10,7,4,7,5,3,17,13,2
3476,13,29,2,13,6,3,5,19,15,3,5
400,3,15,25,20,9,30,5,6,16,29,2
3529,17,20,23,27,9,4,8,11,25,13,2
2978,13,9,6,5,11,7,15,4,13,21,6
4039,25,2,1,10,23,13,25,19,6,17,5
20,3,27,7,21,11,23,9,1,19,23,6
282,7,5,9,27,3,17,21,25,9,27,3
3573,6,16,1,16,9,23,10,11,15,5,4
4618,9,21,13,21,29,4,13,7,16,7,2
1058,13,24,5,15,7,27,30,30,7,10,4
3368,30,12,1,8,4,13,24,29,23,6,4
3313,24,7,17,5,25,17,1,11,17,3,5
2684,16,23,27,29,12,23,12,5,9,9,3
799,3,21,4,8,10,9,17,7,10,9,8
2,30,17,9,5,10,25,5,27,25,11,3
2983,11,9,5,6,9,10,23,25,21,4,7
1254,1,12,5,3,26,19,5,14,15,27,2
2326,27,8,8,7,27,11,15,6,29,5,5
4248,3,20,29,5,15,1,15,4,6,9,5
210,8,25,22,29,25,10,18,1,7,21,4
2564,27,3,6,21,17,8,1,22,23,12,2
3866,5,25,23,26,5,7,3,16,15,1,4
3039,13,3,8,13,5,28,6,10,1,9,4
4509,1,10,10,27,27,12,7,25,7,12,8
3512,5,27,1,17,8,10,29,12,26,18,3
3388,6,30,9,7,4,19,29,19,5,3,3
2443,10,8,27,22,27,17,13,19,20,17,6
1494,15,4,19,12,7,6,1,27,14,17,2
4760,5,5,15,3,18,14,22,7,21,20,4
3769,3,9,18,7,7,30,30,21,5,26,8
177,23,6,17,29,16,9,16,27,27,19,4
1438,4,27,7,15,29,3,1,11,17,12,3
2190,23,4,11,7,27,7,5,25,3,25,5
1066,2,17,7,19,29,29,11,5,10,6,2
4250,1,15,5,15,19,9,11,25,28,15,5
2477,10,13,5,10,1,13,29,9,19,14,3
4973,27,3,1,8,17,4,21,29,3,13,5
1708,22,25,9,13,6,25,10,10,3,4,2
2879,13,10,1,17,10,8,7,7,17,8,4
4512,17,13,1,19,10,29,12,5,10,27,4
3268,13,29,9,29,25,27,7,26,5,16,2
3196,14,7,1,5,29,5,9,27,19,17,4
4670,1,17,29,17,3,17,3,19,10,5,5
4051,6,5,3,17,13,7,6,18,16,27,4
2319,23,1,9,7,23,6,19,20,11,26,4
4769,11,5,7,9,19,13,17,17,8,5,3
2803,1,17,12,2,10,13,9,17,29,11,3
4590,1,25,29,26,15,6,13,11,5,3,2
900,23,21,6,8,7,15,13,12,27,8,2
905,3,14,25,27,25,5,27,29,19,7,2
4179,25,21,29,22,10,5,1,8,5,6,2
4953,13,27,27,7,25,18,5,1,4,11,6
67,1,29,15,8,5,23,12,17,14,20,5
3912,3,8,5,15,17,25,1,9,7,13,3
3410,21,9,1,12,11,26,13,11,7,18,4
1189,29,27,11,17,6,11,21,23,19,3,8
4343,21,19,12,6,8,6,6,1,5,9,2
4976,13,15,19,21,7,17,3,8,25,1,4
878,3,13,5,15,13,27,1,23,6,28,8
1395,7,21,1,2,3,11,30,5,11,14,2
1271,29,3,8,21,6,7,12,14,19,3,5
4549,15,19,11,20,1,3,17,6,7,11,7
1551,4,20,26,27,24,14,16,1,5,17,7
2158,29,27,23,21,24,27,20,11,15,10,5
3911,19,18,6,5,25,9,13,3,14,19,2
3344,3,21,25,5,1,19,3,15,21,13,4
1000,9,10,8,5,1,7,4,7,7,4,6
4283,4,1,17,19,24,27,13,10,10,18,4
77,8,11,5,22,24,19,25,13,8,29,4
3535,10,23,13,11,17,13,15,10,25,3,4
2388,9,11,15,24,16,1,27,22,5,12,2
2767,29,3,9,13,13,25,26,15,21,1,4
4286,15,27,29,6,11,10,7,9,13,3,4
1086,8,1,19,12,15,30,23,23,13,6,5
3357,10,8,15,8,15,11,4,23,3,17,3
2634,19,15,16,27,18,1,8,15,25,27,6
2362,5,7,4,6,26,15,15,9,29,3,7
1198,16,1,25,25,17,5,17,9,6,11,3
1276,4,9,9,1,25,9,5,19,25,13,7
1487,1,23,20,17,25,8,3,11,10,25,6
872,5,25,17,23,7,15,8,16,1,13,4
790,19,17,8,11,27,29,27,1,11,13,4
1704,19,4,19,19,5,4,1,24,14,10,5
2366,13,1,19,27,17,3,10,29,13,9,5
3362,19,9,13,17,12,10,16,2,29,17,4
4417,4,7,13,12,17,23,1,21,11,19,3
2350,7,1,5,17,4,10,13,7,9,17,3
2742,29,9,13,13,29,15,7,30,21,27,2
760,8,1,8,23,7,3,25,17,21,4,5
3666,13,13,3,29,12,13,1,19,12,6,2
2980,7,28,20,29,8,3,17,17,3,1,4
3445,15,24,5,1,2,30,19,7,15,10,5
4116,7,16,9,7,18,1,3,24,27,17,3
4231,25,23,27,19,9,6,5,8,30,23,4
1473,19,11,27,3,15,16,17,19,23,29,4
519,9,9,4,17,5,20,5,27,15,12,6
3036,13,11,7,5,1,5,21,9,27,25,7
1999,10,5,21,4,14,4,13,7,13,23,5
4492,16,8,13,7,13,10,19,21,1,17,4
2232,11,4,1,27,14,21,23,15,9,9,2
2655,1,4,5,7,9,6,9,11,18,17,6
448,25,9,7,30,5,12,29,25,3,23,2
851,6,1,23,9,15,27,12,27,13,21,3
3851,11,10,11,7,1,27,24,9,4,9,5
80,7,15,5,1,17,23,19,7,13,30,2
3997,6,19,8,11,21,13,7,13,22,10,5
297,16,12,1,17,20,5,21,13,11,23,3
3084,15,4,15,25,8,5,18,1,3,27,5
973,25,9,19,27,8,7,7,3,13,23,2
2942,23,10,27,10,23,7,10,13,7,9,4
1454,9,5,23,6,14,1,29,10,9,21,8
3504,9,25,4,7,3,14,17,6,27,1,6
3260,15,17,17,27,25,1,24,9,25,10,7
2783,1,12,3,15,13,7,13,23,14,15,6
365,3,17,11,16,17,9,23,23,14,24,2
4056,21,15,19,9,24,20,9,11,19,29,3
1977,27,23,24,7,6,5,3,23,13,6,4
3406,21,13,25,12,1,3,7,13,26,5,2
4164,28,29,1,8,19,3,9,15,15,13,5
1388,20,15,3,3,5,25,7,10,1,13,2
2618,5,7,8,7,9,18,25,8,15,1,5
1307,19,25,23,10,17,29,9,6,9,1,6
4577,16,27,13,10,1,18,5,18,13,17,7
75,17,17,6,1,9,18,18,14,3,22,4
451,11,1,16,7,19,9,15,5,13,3,3
4803,28,1,2,27,3,3,11,8,7,13,3
862,1,19,5,26,16,10,23,3,4,11,2
4167,19,21,28,26,23,25,3,25,29,18,5
4058,16,13,11,1,24,21,12,11,23,9,4
2806,1,13,27,4,6,15,15,8,18,11,5
482,10,21,8,12,9,8,9,25,27,15,2
334,8,11,18,29,28,21,22,4,7,9,4
3447,17,13,14,27,9,17,9,12,13,7,6
3963,6,7,23,16,5,15,29,4,1,12,5
2959,15,9,11,9,7,15,25,3,11,1,4
2291,10,1,5,7,7,9,12,16,24,23,2
1145,17,7,18,29,14,11,10,23,19,16,5
2674,7,12,1,7,11,15,3,5,29,30,7
3012,25,25,23,15,5,18,22,21,3,2,4
3772,3,15,23,5,11,17,22,29,5,1,6
3683,6,21,23,12,19,16,21,24,11,9,8
4287,25,3,25,15,6,1,11,26,22,9,6
2444,1,21,25,4,21,15,25,13,9,17,4
2713,1,29,16,29,6,16,9,13,17,23,4
3198,15,21,7,21,27,8,11,4,9,25,5
4993,20,1,27,21,10,19,25,13,27,6,7
2745,17,21,29,23,15,28,28,11,7,11,2
1065,1,27,21,24,19,7,12,9,25,3,3
4401,7,13,1,29,23,20,21,5,16,9,4
4807,23,15,5,29,26,10,1,9,5,11,4
3964,7,15,5,14,11,10,5,3,1,10,4
328,5,21,17,30,4,14,29,27,25,1,3
2146,11,16,7,15,19,17,23,1,20,29,2
1515,1,24,5,17,7,9,25,7,4,8,4
4939,9,1,16,5,22,24,13,11,3,22,5
4744,27,26,7,13,4,15,8,25,8,8,4
2164,7,19,9,14,19,4,23,3,10,1,5
2603,5,1,15,25,27,5,7,17,7,11,4
251,23,21,30,14,4,7,20,13,5,11,3
1687,8,28,11,6,1,7,12,13,23,3,2
438,9,1,13,15,21,9,10,15,25,23,3
1498,29,10,7,11,25,23,5,4,14,13,8
2724,29,9,1,11,15,6,17,19,17,21,3
967,13,25,27,20,8,29,3,29,5,11,5
1916,30,7,27,27,15,19,1,9,4,12,6
1780,9,9,23,4,28,18,8,14,19,21,3
856,5,22,6,1,19,3,24,21,17,13,4
3500,6,23,27,9,17,18,29,15,13,13,2
2412,4,24,13,7,6,1,27,5,19,22,3
3000,11,6,11,1,3,23,8,27,13,7,4
1140,17,1,5,12,3,13,6,29,13,8,4
3511,29,17,16,16,5,17,21,1,7,23,3
4067,9,4,21,1,11,15,2,23,8,16,5
3160,23,30,27,17,1,11,27,19,7,9,2
3643,21,11,3,15,19,25,16,21,23,17,4
545,25,24,9,23,29,27,17,4,11,15,5
4373,15,1,19,29,16,21,3,15,25,25,5
2394,5,1,27,6,15,23,17,16,26,25,3
4397,1,23,8,11,6,17,15,9,29,4,3
4752,12,6,14,18,6,10,7,3,9,12,4
4746,14,6,10,5,7,9,23,25,17,8,3
1754,3,29,17,6,23,8,7,9,6,4,5
4400,17,21,13,3,13,9,29,18,19,25,5
1278,25,10,8,9,30,2,22,7,17,12,4
2707,8,30,14,1,10,3,23,25,5,4,4
87,9,21,23,13,14,27,17,12,7,15,2
755,5,17,3,23,15,13,3,1,4,9,7
1250,13,6,5,1,6,8,3,21,9,11,4
2325,9,5,1,27,3,6,26,4,2,15,6
4127,1,11,5,13,8,25,14,9,3,16,4
3759,17,15,15,19,18,27,1,26,19,5,3
3664,3,29,5,9,6,25,29,8,11,1,8
1676,10,5,6,19,15,8,23,5,7,21,2
1440,8,25,27,29,21,27,11,9,8,16,5
3257,1,11,18,8,23,29,23,11,9,15,2
4570,19,3,17,27,25,12,3,15,11,28,2
1095,7,7,1,15,8,12,23,10,5,29,7
4078,15,16,25,4,11,11,3,5,15,15,8
3180,9,15,7,25,19,1,21,23,25,30,4
1561,7,1,3,5,8,16,15,9,20,30,5
716,16,21,29,1,11,7,8,25,15,21,6
1059,1,13,23,13,6,21,19,5,14,13,2
916,25,1,21,11,3,25,29,23,27,19,7
550,23,3,1,9,15,13,7,14,25,12,2
4675,14,17,12,27,5,8,4,7,19,19,7
2136,4,19,23,7,6,7,22,1,21,18,4
132,24,23,12,9,9,3,13,4,5,17,2
4277,23,10,15,14,3,13,11,16,9,3,4
1134,19,11,3,27,11,17,21,9,16,13,2
118,22,23,6,25,15,14,5,13,9,3,4
1611,1,21,25,24,7,23,13,21,27,5,6
3876,10,25,1,7,19,13,5,13,3,3,3
3290,15,1,13,7,13,5,24,16,11,16,7
3668,25,26,3,27,14,1,17,23,10,11,2
283,23,4,17,13,1,19,14,18,3,21,4
3336,29,14,19,21,1,13,8,29,25,3,5
1129,1,11,25,7,29,24,10,8,19,3,4
2672,20,12,5,15,10,3,25,13,18,17,3
1028,6,15,1,8,27,23,27,27,21,7,4
1824,14,1,13,11,7,13,19,11,27,28,5
1485,21,11,14,3,1,6,3,27,13,9,6
4696,1,16,4,23,4,3,21,25,10,6,6
3171,9,3,22,30,17,5,12,9,11,21,4
495,18,21,19,1,13,7,26,15,5,6,5
873,3,1,2,17,11,6,14,23,18,17,8
4420,11,6,15,29,12,13,9,1,23,17,6
2688,13,3,30,7,13,29,23,17,10,29,7
2478,1,30,6,5,13,15,21,24,11,9,2
531,15,19,23,2,29,18,3,30,13,17,3
4604,15,23,1,24,23,13,12,11,17,27,3
1448,27,23,12,17,29,15,7,3,13,8,4
1381,17,14,7,15,5,25,1,14,12,23,7
2513,5,12,15,23,12,1,5,4,13,19,2
3951,1,6,27,18,16,5,9,9,5,13,4
1463,29,1,19,15,10,11,9,6,21,5,4
2549,7,25,14,30,22,8,5,6,15,9,5
3850,5,18,5,2,1,23,25,7,19,17,6
4612,10,5,11,4,29,1,26,3,15,13,4
3544,18,8,9,21,25,16,4,2,13,13,5
1209,23,4,8,22,1,10,27,27,11,17,7
960,16,6,21,14,18,3,1,15,11,19,4
3147,4,6,1,16,8,9,25,15,11,29,4
65,15,27,8,7,2,17,18,4,25,23,5
3526,28,25,14,8,9,17,13,17,6,11,4
992,17,21,10,11,6,14,5,11,1,25,5
120,18,27,29,10,30,13,14,19,10,23,4
354,27,10,17,14,1,15,29,3,9,4,5
3182,5,29,15,9,25,4,6,18,11,19,4
3114,10,15,13,28,11,21,5,15,9,17,4
789,1,17,11,21,7,9,25,25,11,13,5
3619,11,5,19,13,27,7,29,11,18,6,3
4290,11,6,27,27,7,4,19,22,18,20,7
3269,7,27,3,15,13,5,15,7,3,26,5
2450,18,12,7,25,14,9,19,27,17,14,4
1119,12,6,19,5,23,21,5,17,11,4,4
1009,23,14,9,30,12,10,5,26,18,6,2
4255,12,29,13,17,7,1,28,27,14,11,4
1207,9,4,9,3,13,15,1,16,19,21,2
1587,27,23,29,12,5,1,10,9,7,17,4
3692,15,13,7,22,24,18,29,11,19,21,7
2094,15,3,25,23,3,17,21,2,19,6,2
342,17,23,10,20,14,19,29,29,3,19,5
2635,5,17,24,7,3,27,19,13,29,11,5
4355,19,29,27,26,7,29,3,4,23,19,3
1405,17,18,7,8,7,13,5,23,25,15,4
4366,27,1,23,4,5,12,8,25,6,19,3
1193,3,5,16,24,15,1,10,9,25,10,4
1032,3,23,25,21,11,13,1,11,7,15,3
2426,10,13,8,10,7,11,18,9,23,29,3
731,21,25,1,23,9,7,12,15,19,8,3
2950,12,3,3,15,16,18,19,27,6,16,4
4532,6,10,29,27,8,14,9,11,17,4,2
3678,6,23,15,17,21,27,3,11,11,27,2
3789,5,7,8,24,27,17,7,6,15,1,4
3434,12,23,25,5,27,13,1,20,9,18,5
4055,7,26,2,14,4,18,22,5,21,25,5
1223,18,25,27,14,15,12,15,10,29,27,6
2474,5,10,9,1,5,3,13,10,18,25,6
3894,10,9,30,9,19,13,11,19,23,29,6
3094,10,26,12,7,9,3,25,7,11,7,2
4427,6,11,18,13,1,13,14,9,11,27,5
2005,29,13,5,13,21,28,23,4,25,29,5
1412,1,26,13,3,21,15,19,12,3,4,4
488,13,4,6,3,1,6,27,12,17,8,4
4683,29,14,27,15,25,4,14,5,7,5,7
2863,5,19,3,7,17,10,14,23,25,9,4
3992,15,7,1,12,5,7,10,21,26,5,2
1364,14,4,3,7,5,8,29,9,4,4,3
2815,8,8,17,4,7,25,25,10,17,10,5
2929,5,9,17,17,1,10,14,21,19,19,5
747,9,13,9,12,5,7,23,3,23,1,2
3014,21,4,1,25,9,6,10,25,11,5,3
4881,3,21,13,23,1,14,16,12,19,24,2
90,17,17,7,11,9,23,29,1,9,9,6
839,5,21,10,21,1,23,19,29,28,17,4
3027,23,15,20,8,29,27,1,26,4,5,3
2221,4,10,7,27,9,21,1,13,16,15,6
511,14,1,15,26,9,12,11,9,7,28,5
1077,6,9,27,4,5,15,4,8,6,3,4
2985,23,11,10,10,4,11,15,19,15,4,3
2449,7,5,13,21,9,4,4,3,8,16,4
4205,29,25,11,5,25,17,15,11,19,7,4
3212,27,15,1,13,27,25,15,30,7,14,3
3143,11,15,30,4,17,9,6,21,25,3,5
2744,21,3,4,21,19,15,1,23,27,29,3
2572,8,11,11,3,17,17,18,18,5,13,4
4902,27,15,16,11,9,13,18,29,27,7,4
1806,10,5,19,1,12,9,23,15,19,18,2
2925,29,2,8,1,3,7,4,25,5,26,4
4467,29,9,11,2,22,9,5,5,28,7,5
2911,7,29,19,13,7,3,6,6,9,1,4
3608,20,13,28,27,3,13,22,11,3,25,4
3,2,29,1,29,11,4,13,11,4,19,2
3469,11,10,14,10,13,9,1,18,24,13,6
617,25,3,4,1,7,4,30,5,15,13,6
4412,28,3,7,27,15,25,29,21,9,7,2
4663,23,7,5,16,16,5,30,15,21,8,4
1627,15,6,10,19,16,1,17,27,17,23,3
3318,18,21,1,29,10,23,23,16,11,16,2
626,11,11,29,10,27,27,5,6,13,1,4
411,1,23,26,17,7,28,3,9,14,7,6
4724,15,5,23,9,13,9,9,5,4,6,3
3173,1,10,28,7,19,3,15,4,4,7,4
4918,19,5,14,19,15,8,23,24,25,17,7
3487,26,1,25,21,29,19,4,27,18,15,4
223,19,3,7,14,7,25,10,15,17,1,6
3978,3,11,8,30,20,1,22,19,25,10,3
2500,5,6,1,19,11,3,29,15,10,25,2
3531,29,11,9,18,13,21,7,9,7,11,3
3035,21,27,11,27,18,17,6,25,8,7,2
1321,1,7,6,6,6,15,13,17,15,7,4
3925,5,8,29,15,16,15,3,19,27,10,3
1553,17,15,5,26,25,8,12,14,24,9,4
4586,26,15,18,4,22,1,29,5,19,17,4
4194,18,27,10,1,13,5,15,3,9,5,8
2371,8,27,3,26,19,30,3,12,9,21,3
2973,13,8,17,11,17,9,3,1,3,15,5
567,1,29,4,24,14,17,13,20,10,21,5
2647,19,4,14,5,23,1,17,6,10,7,2
3979,25,11,18,17,21,13,19,15,2,8,4
3645,27,29,7,13,23,26,27,6,14,20,2
91,7,17,11,1,21,4,3,9,29,10,4
1293,5,24,20,1,4,7,21,9,23,7,3
1734,8,5,17,29,1,13,10,27,8,27,5
1714,13,25,17,27,9,19,19,20,22,21,5
4882,4,11,12,5,4,21,1,13,15,24,3
1628,17,7,11,1,7,10,15,9,6,13,6
3108,28,9,3,9,19,27,5,1,12,27,4
4518,15,7,16,14,3,1,9,8,11,11,8
3175,25,3,21,23,7,15,6,7,9,1,2
4788,5,4,4,26,30,9,17,3,8,6,6
1196,21,10,9,5,29,12,10,1,4,25,4
2131,13,25,14,23,27,11,5,18,11,16,3
4174,11,11,11,8,13,13,3,14,8,7,4
2539,19,6,12,21,25,19,4,5,10,19,4
593,8,29,1,3,27,15,27,9,9,19,5
3657,8,7,4,4,9,29,5,29,5,19,4
4879,23,21,7,29,18,3,3,15,25,1,6
3195,1,7,3,25,17,3,6,30,5,15,3
3404,11,27,6,29,17,19,14,27,7,2,4
4440,13,13,14,23,23,25,21,24,15,11,5
4392,9,6,27,19,13,16,7,14,21,4,3
2695,15,27,10,3,1,25,19,21,21,13,2
2515,19,3,11,3,10,19,8,21,9,13,4
3508,13,17,28,21,17,7,19,3,25,11,5
1068,3,11,3,5,11,9,25,27,9,19,5
3020,27,1,21,19,19,11,17,27,23,30,4
3153,9,18,21,12,29,4,21,13,29,25,5
485,10,3,11,13,23,15,25,7,17,13,5
3142,14,17,19,9,15,2,12,21,1,14,5
3767,12,10,28,27,11,22,18,1,23,8,5
1543,6,27,25,17,23,6,23,23,19,9,2
1357,25,29,8,4,19,15,16,9,13,1,3
3029,18,11,12,9,13,19,25,3,5,16,2
651,15,7,15,21,11,18,25,13,27,15,5
4445,13,5,1,17,7,12,15,4,4,6,4
2633,27,7,28,19,1,17,13,21,6,16,3
63,11,23,17,20,8,21,6,27,27,17,5
4226,27,11,9,11,16,5,8,1,19,15,7
4774,17,23,25,11,15,27,1,21,21,27,4
624,1,24,15,9,25,27,24,13,5,18,5
1367,2,11,19,6,16,9,27,1,15,13,2
1464,19,9,18,13,7,15,5,7,1,22,7
1167,19,1,9,26,7,3,11,6,11,3,5
1667,17,29,15,15,17,18,23,21,9,20,5
2210,5,23,18,18,15,27,9,1,15,3,5
3401,3,17,29,1,19,17,25,26,27,11,2
3514,19,1,23,23,3,6,12,16,18,27,3
2260,3,3,18,11,12,21,8,19,25,27,4
4079,13,10,26,4,17,17,17,2,3,7,4
2262,5,8,17,6,13,1,14,14,24,11,4
4714,6,28,25,4,5,9,3,11,5,19,5
513,20,19,18,1,6,27,7,4,6,7,3
4044,8,3,11,6,19,11,10,30,1,25,3
1489,13,8,13,5,18,17,9,25,1,21,3
3741,29,8,17,5,28,5,17,27,24,9,2
2638,29,8,1,6,9,17,7,4,25,18,6
535,5,22,3,14,11,29,1,5,14,23,7
3174,1,13,5,5,8,17,21,13,25,4,6
1416,3,25,9,11,8,15,8,13,8,1,7
2827,13,7,9,7,3,27,16,11,21,18,4
2115,27,5,19,29,25,4,27,13,15,7,8
1566,6,29,14,1,3,27,10,13,9,17,4
4908,22,7,16,19,27,5,25,9,26,26,5
224,3,21,13,30,27,5,11,3,18,26,4
2202,6,14,8,28,13,25,1,19,16,12,4
3887,6,14,14,7,5,5,7,25,11,10,3
2894,25,23,1,15,17,7,10,9,6,6,2
1700,23,4,1,29,5,19,14,3,13,21,5
1790,23,11,1,16,23,29,3,27,28,7,5
